Node,Hot_T_K,Hot_P_Pa,Cold_T_K,Cold_P_Pa
0,2073.15,667,299.82,344738
1,2073.15,657,299.82,344738
2,1609.03,625,303.86,344738
3,1292.17,603,306.56,344737
4,1068.27,586,308.40,344737
5,905.62,567,309.70,344737
6,784.75,551,310.64,344737
7,693.13,538,311.34,344737
8,622.51,526,311.86,344737
9,567.25,516,312.27,344737
10,523.45,507,312.58,344737
11,488.34,499,312.83,344737
12,459.92,492,313.04,344737
13,436.70,485,313.20,344737
14,417.59,478,313.34,344737
15,401.76,472,313.45,344737
16,388.57,466,313.54,344737
17,377.52,460,313.62,344737
18,368.23,455,313.69,344737
19,360.39,449,313.74,344737
20,353.74,444,313.79,344737
21,348.10,439,313.83,344737
22,343.29,433,313.86,344737
23,339.19,428,313.89,344737
